1, 23, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0.5, 0, 0, 0, 0, 0, 0, 601000000, 0, 0
0, 11, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0.428571, 0, 0, 0, 0, 0, 0, 10100000, 0, 0
0, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 8, 0.375, 0, 0, 0, 0, 0, 0, 513000000, 0, 0
1, 18, 3, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0.428571, 0, 0, 0, 0, 0, 0, 484000000, 0, 0
10, 126, 3, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 6, 0.5, 0, 0, 0, 0, 0, 0, 2740000, 0, 0
8, 36, 3, 2, 0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 8, 0.375, 0, 0, 0, 0, 0, 0, 11900000, 0, 0
2, 7, 5, 2, 0, 0, 1, 0, 2, 1, 0, 3, 0, 0, 0, 11, 0.454545, 0, 1, 0, 0, 0, 0, 999000, 0, 0
1, 4, 6, 1, 0, 0, 2, 0, 2, 0, 0, 3, 0, 0, 0, 13, 0.461538, 0, 0, 0, 0, 0, 1, 10200000, 0, 0
1, 15, 5, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 10, 0.5, 0, 1, 0, 0, 0, 0, 21700000, 0, 0
9, 89, 4, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0.5, 0, 0, 0, 0, 0, 0, 8400000, 0, 0
6, 92, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0.5, 0, 0, 0, 0, 0, 0, 3540000, 0, 0
11, 48, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0.5, 0, 0, 0, 0, 0, 0, 7340000, 0, 0
1, 12, 5, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 11, 0.454545, 0, 0, 0, 0, 0, 0, 116000000, 0, 0
1, 33, 3, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0, 8, 0.375, 1, 0, 0, 0, 0, 0, 10800000, 0, 0
6, 34, 3, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 7, 0.428571, 1, 0, 0, 0, 0, 0, 1330000, 0, 0
