%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data
"cuando", 18, no, no, no, yes, no, 6,0.5,274000000, no, no, no, no, yes, yes, yes
"cuantos", 11, no, no, no, yes, no, 7,0.428571,21600000, no, no, no, no, yes, yes, yes
"cárcel", 3, no, no, no, no, no, 6,0.333333,13700000, no, no, no, no, no, no, yes
"de agua", 1, no, no, no, no, yes, 7,0.571429,904000000, no, no, no, no, no, yes, yes
"de casa", 1, no, no, no, no, no, 7,0.428571,532000000, no, no, no, no, no, no, yes
"de gente", 0, no, yes, no, no, no, 8,0.375,634000000, no, no, no, no, no, no, yes
"de hierbabuena", 0, yes, no, no, no, no, 14,0.5,1430000, no, no, no, yes, no, no, yes
"de la ley", 0, no, no, yes, no, no, 9,0.333333,179000000, no, no, no, no, no, no, yes
"de litros", 0, no, no, no, no, no, 9,0.333333,162000000, no, no, no, no, no, no, yes
"de pollo", 0, no, no, no, no, no, 8,0.375,94100000, no, yes, no, no, no, no, yes
"de vidrio", 0, no, no, no, no, no, 9,0.444444,149000000, no, no, no, no, no, no, yes
"debía", 8, no, no, no, no, no, 5,0.6,9340000, no, no, no, no, no, no, yes
"decir", 3, no, no, no, no, no, 5,0.4,105000000, no, no, no, no, no, no, yes
"dejen", 9, no, yes, no, no, no, 5,0.4,9400000, no, no, no, no, no, no, yes
"del año", 0, no, no, no, no, no, 7,0.428571,433000000, no, no, no, no, no, no, yes
"dentro", 5, no, no, no, no, no, 6,0.333333,232000000, yes, no, no, no, no, no, yes
"desarrollo", 6, no, no, no, no, no, 10,0.4,129000000, no, yes, no, no, no, no, yes
"descontado", 9, no, no, no, no, no, 10,0.4,1080000, no, no, no, no, no, no, yes
"desde", 8, no, no, no, no, no, 5,0.4,516000000, no, no, no, no, no, no, yes
"desechando", 6, no, no, no, no, no, 10,0.4,834000, no, no, no, yes, no, no, yes
"destrozo", 7, no, no, no, no, no, 8,0.375,1240000, yes, no, no, no, no, no, yes
"dibujo", 6, no, yes, no, no, no, 6,0.5,22800000, no, no, no, no, yes, no, yes
"dicen poco", 0, no, no, no, no, no, 10,0.4,69500000, no, no, no, no, no, no, yes
"dicho", 13, no, no, no, no, no, 5,0.4,61700000, no, no, no, yes, no, no, yes
"diciembre", 2, no, no, no, no, no, 9,0.444444,127000000, yes, no, no, no, no, no, yes
"dictado", 8, no, no, no, no, no, 7,0.428571,3630000, no, no, no, no, no, no, yes
"dije", 11, no, yes, no, no, no, 4,0.5,20100000, no, no, no, no, no, no, yes
"dirigirse", 6, no, yes, no, no, no, 9,0.444444,4730000, no, no, no, no, no, no, yes
"discusión", 1, no, no, no, yes, no, 9,0.444444,21500000, no, no, no, no, no, no, yes
"discutiendo y al", 0, no, no, yes, yes, no, 16,0.375,187000000, no, no, no, no, yes, no, yes
"disparó", 6, no, no, no, no, no, 7,0.428571,2460000, no, no, no, no, no, no, yes
"distintas", 4, no, no, no, no, no, 9,0.333333,38600000, no, no, no, no, no, no, yes
"distorsión", 1, no, no, no, no, no, 10,0.4,1540000, no, no, no, no, no, no, yes
"domingo", 4, no, no, no, no, no, 7,0.428571,174000000, no, no, no, no, no, no, yes
"donde", 9, no, no, no, no, no, 5,0.4,294000000, no, no, no, no, no, no, yes
"ecualizador", 3, no, no, no, yes, no, 11,0.545455,875000, no, no, no, no, yes, yes, yes
"ecualizar", 9, no, no, no, yes, no, 9,0.555556,212000, no, no, no, no, no, yes, yes
"el", 23, no, no, no, no, no, 2,0.5,2430000000, no, no, no, no, no, no, yes
"el señor", 0, no, no, no, no, no, 8,0.375,11900000, no, no, no, no, no, no, yes
"ello se debe", 0, no, no, no, no, no, 12,0.416667,253000000, no, yes, no, no, no, no, yes
"embarcación", 1, no, no, no, no, no, 11,0.454545,2280000, no, no, no, no, no, no, yes
"en el", 0, no, no, no, no, no, 5,0.4,3060000000, no, no, no, no, no, no, yes
"enseñarle", 10, no, no, no, no, no, 9,0.444444,1170000, no, no, no, no, no, no, yes
"entonces", 4, no, no, no, no, no, 8,0.375,69000000, no, no, no, no, no, no, yes
"enviado", 14, no, no, no, no, no, 7,0.571429,61000000, no, no, no, no, no, no, yes
"envuelve", 5, yes, no, no, no, no, 8,0.5,2050000, no, no, no, no, no, no, yes
"envía", 8, no, no, no, no, no, 5,0.6,32500000, no, no, no, no, no, no, yes
"ermita", 7, no, no, no, no, no, 6,0.5,4730000, no, no, no, no, no, no, yes
"escribimos", 5, no, no, no, no, no, 10,0.4,1260000, yes, no, no, no, no, no, yes
"españa", 6, no, no, no, no, no, 6,0.5,337000000, no, no, no, no, no, no, yes
"esplendor", 3, no, no, no, no, no, 9,0.333333,4430000, yes, no, no, no, no, no, yes
"estaba", 15, no, no, no, no, no, 6,0.5,71600000, no, no, no, no, no, no, yes
"estabais", 6, no, no, no, no, no, 8,0.5,1480000, no, no, no, no, no, no, yes
"estabas", 16, no, no, no, no, no, 7,0.428571,5390000, no, no, no, no, no, no, yes
"estadísticamente", 1, no, no, no, no, no, 16,0.4375,1040000, no, no, no, no, no, no, yes
