%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p3.cpp
@relation whole_set_p3
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data
4, 8, 4, no, no, no, no, no, no, yes, no, 10, yes
4, 38, 4, no, no, no, no, yes, no, no, no, 8, yes
22, 273, 2, no, no, yes, no, no, no, no, no, 6, yes
32, 326, 1, no, no, no, no, no, no, no, no, 2, yes
13, 170, 2, no, no, yes, no, no, no, no, no, 6, yes
6, 213, 1, no, no, no, no, yes, no, no, no, 3, yes
4, 67, 3, no, no, no, no, no, no, no, no, 6, yes
2, 31, 4, no, no, no, no, no, no, no, no, 9, yes
9, 23, 4, no, no, no, no, no, no, no, no, 8, yes
7, 215, 2, no, no, no, no, no, no, no, no, 4, yes
2, 29, 3, no, no, no, no, no, no, no, no, 7, yes
2, 6, 3, no, no, no, no, no, no, no, no, 7, yes
8, 53, 4, no, no, no, no, no, no, no, yes, 8, yes
8, 124, 3, no, no, no, no, no, no, no, no, 8, yes
16, 163, 3, no, no, no, no, no, no, no, no, 6, yes
1, 3, 6, no, no, no, no, no, no, no, no, 13, yes
2, 10, 5, no, no, no, no, no, no, no, no, 13, yes
42, 800, 2, no, no, no, no, no, no, no, no, 4, yes
26, 377, 3, no, no, no, no, no, no, no, no, 6, yes
7, 32, 3, no, no, no, no, no, no, no, no, 7, yes
5, 33, 4, no, no, no, no, no, no, no, no, 7, yes
4, 35, 4, no, no, no, no, no, no, no, no, 9, yes
5, 31, 4, no, no, no, no, no, no, no, no, 10, yes
1, 6, 5, no, no, no, no, no, no, no, no, 10, yes
12, 195, 2, no, no, no, no, no, no, no, no, 5, yes
10, 106, 3, no, no, no, no, no, no, no, no, 6, yes
8, 34, 3, no, no, no, no, no, no, no, no, 8, yes
7, 25, 4, no, no, no, no, no, no, no, no, 11, yes
10, 78, 4, no, no, no, no, no, no, no, no, 8, yes
33, 471, 2, no, no, no, no, no, no, no, no, 4, yes
15, 158, 3, no, no, no, no, no, no, no, no, 5, yes
6, 53, 5, no, no, no, no, no, no, no, no, 9, yes
4, 36, 5, no, no, no, no, no, yes, no, no, 11, yes
6, 55, 4, no, no, no, no, no, no, no, no, 8, yes
13, 150, 3, no, no, no, no, no, no, no, no, 6, yes
7, 71, 4, no, no, no, no, no, no, no, no, 8, yes
17, 346, 2, no, no, no, no, yes, no, no, no, 5, yes
20, 400, 2, no, no, no, no, no, no, no, no, 4, yes
37, 470, 1, no, no, no, no, no, no, no, no, 2, yes
40, 624, 2, no, no, no, no, no, no, no, no, 3, yes
1, 1, 6, no, no, no, no, no, no, no, no, 13, yes
3, 4, 6, no, no, no, no, no, no, no, no, 13, yes
20, 270, 2, no, no, no, no, no, no, no, no, 5, yes
20, 313, 1, no, no, no, no, no, no, no, no, 2, yes
6, 42, 3, no, no, no, no, no, no, no, no, 6, yes
6, 54, 3, no, no, no, no, no, no, no, no, 6, yes
5, 63, 3, no, no, no, no, no, no, no, yes, 6, yes
1, 15, 3, no, no, no, no, no, no, no, no, 7, yes
31, 507, 1, no, no, no, no, no, no, no, no, 2, yes
9, 182, 3, no, no, no, no, no, no, no, no, 5, yes
4, 13, 5, no, no, no, no, no, no, no, yes, 11, yes
5, 55, 3, no, no, no, no, no, no, no, no, 8, yes
14, 175, 3, no, no, no, no, no, no, no, no, 7, yes
7, 59, 4, no, no, no, no, no, no, no, no, 8, yes
13, 180, 3, no, no, no, no, yes, no, no, no, 7, yes
29, 390, 1, no, no, no, no, no, no, no, no, 2, yes
2, 54, 3, no, no, no, no, no, no, no, no, 6, yes
3, 14, 4, no, no, no, no, no, no, no, yes, 9, yes
4, 61, 2, no, no, no, no, no, no, no, no, 6, yes
24, 431, 1, no, no, no, no, no, no, no, no, 3, yes
9, 205, 1, no, no, no, no, yes, no, no, no, 3, yes
5, 63, 2, no, no, no, no, no, no, no, no, 4, yes
9, 160, 2, no, no, no, no, yes, no, no, no, 5, yes
16, 381, 1, no, no, no, no, yes, no, no, no, 2, yes
3, 63, 2, no, no, no, no, no, no, no, no, 4, yes
4, 21, 4, no, no, no, no, no, no, no, no, 8, no
27, 486, 3, no, no, no, no, no, no, no, no, 4, no
8, 137, 3, no, no, no, no, no, no, no, no, 6, no
10, 99, 3, no, no, no, no, no, no, no, no, 6, no
28, 521, 2, no, no, no, no, no, no, no, no, 4, no
27, 529, 3, no, no, no, no, no, no, no, no, 5, no
18, 241, 3, no, no, no, no, yes, no, no, no, 5, no
22, 288, 2, no, no, no, no, no, no, no, no, 5, no
26, 530, 2, no, no, no, no, no, no, no, no, 4, no
1, 12, 3, no, no, no, no, no, no, no, no, 7, no
4, 7, 4, no, no, no, no, no, no, no, no, 8, no
3, 34, 4, no, no, no, no, no, no, no, no, 7, no
9, 212, 3, no, no, no, no, no, no, no, no, 5, no
5, 21, 3, no, no, no, no, no, no, no, no, 6, no
8, 243, 2, no, no, no, no, no, no, no, no, 5, no
9, 92, 3, no, no, no, no, no, no, no, no, 7, no
4, 26, 3, no, no, no, no, no, no, no, no, 7, no
9, 56, 3, no, no, no, no, no, no, no, no, 7, no
21, 251, 3, no, no, no, no, no, no, no, no, 7, no
51, 818, 2, no, no, no, no, no, no, no, no, 4, no
9, 112, 3, no, no, no, no, no, no, no, no, 7, no
5, 38, 4, no, no, no, no, no, no, no, no, 9, no
13, 195, 3, no, no, no, no, no, no, no, no, 8, no
2, 32, 4, no, no, no, no, no, no, no, no, 7, no
9, 160, 3, no, no, no, no, no, no, no, no, 7, no
9, 46, 4, no, no, no, no, no, no, no, no, 7, no
31, 496, 2, no, no, no, no, no, no, no, no, 4, no
22, 406, 1, no, no, no, no, no, no, no, no, 3, no
10, 170, 2, no, no, no, no, no, no, no, no, 6, no
7, 81, 3, no, no, no, no, no, no, no, no, 7, no
38, 698, 2, no, no, no, no, no, no, no, no, 4, no
39, 661, 2, no, no, no, no, no, no, no, no, 4, no
6, 23, 5, no, no, no, no, no, no, no, yes, 13, no
3, 22, 4, no, no, no, no, no, no, no, no, 9, no
