%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p5
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute difficult {yes,no}
@data

0, 0, 3, no, no, no, no, yes, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
1, 18, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
9, 89, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, yes
6, 31, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, yes
6, 65, 4, no, no, no, no, no, yes, no, no, no, 10, 0.4, no, no, no, no, no, yes, yes
6, 17, 5, no, no, no, no, no, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, yes
19, 304, 2, no, no, no, no, no, no, no, no, no, 3, 0.666667, no, no, no, yes, no, no, yes
11, 246, 2, no, no, no, no, yes, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
13, 171, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, yes
10, 134, 2, yes, no, no, no, no, no, no, no, yes, 5, 0.4, no, no, no, yes, no, no, yes
4, 10, 6, no, no, no, no, no, no, no, no, no, 11, 0.545455, no, yes, no, no, no, no, yes
3, 4, 4, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, no, no, no, no, no, yes
13, 185, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, yes
1, 23, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, yes, yes
23, 350, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, yes
3, 4, 5, no, no, no, no, no, no, no, no, no, 12, 0.416667, yes, no, no, no, no, no, yes
11, 114, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
11, 305, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, yes
0, 1, 6, no, no, no, no, no, no, no, no, no, 13, 0.461538, no, yes, no, no, no, no, yes
1, 3, 6, no, no, no, no, no, no, yes, no, no, 12, 0.5, no, yes, no, no, no, no, yes
2, 11, 4, no, no, no, no, no, no, no, no, no, 12, 0.333333, no, no, no, no, no, no, yes
6, 17, 4, no, no, no, no, no, no, no, no, no, 12, 0.333333, no, no, no, no, no, no, yes
16, 262, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, yes
3, 25, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, yes
1, 11, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, yes, 9, 0.444444, no, yes, no, no, no, no, yes
8, 106, 3, no, no, no, no, no, no, no, no, yes, 5, 0.6, no, yes, no, no, no, no, yes
6, 27, 3, no, no, no, no, no, no, no, no, yes, 6, 0.5, no, no, no, yes, no, no, yes
4, 24, 3, no, no, no, no, no, no, no, no, no, 9, 0.333333, no, no, no, no, no, no, yes
0, 0, 5, no, no, no, no, no, no, no, no, no, 11, 0.454545, no, yes, no, no, no, no, yes
9, 85, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, yes
4, 27, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, yes
13, 126, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, yes
11, 164, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, yes, no, no, no, no, no, yes
9, 56, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, yes, no, no, no, no, no, yes
15, 299, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, yes
6, 31, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, yes, no, no, no, no, no, yes
6, 11, 6, no, no, no, no, no, no, no, no, no, 10, 0.6, no, yes, no, no, no, no, yes
14, 246, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
0, 0, 9, no, no, no, yes, no, yes, no, no, no, 19, 0.473684, no, yes, no, no, no, no, yes
3, 25, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, yes, no, no, no, yes
5, 100, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, yes, yes
2, 13, 5, no, no, yes, no, no, no, no, no, no, 10, 0.5, no, yes, no, no, yes, no, yes
9, 105, 3, no, no, yes, no, no, no, no, no, no, 8, 0.375, no, no, no, no, yes, no, yes
9, 94, 3, no, no, yes, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, yes, no, yes
15, 374, 1, no, no, yes, no, no, no, no, no, no, 3, 0.333333, no, no, no, yes, yes, no, yes
11, 265, 1, no, no, yes, no, yes, no, no, no, no, 3, 0.333333, no, no, no, yes, yes, no, yes
27, 431, 2, no, no, yes, no, yes, no, no, no, no, 5, 0.4, no, no, no, yes, yes, no, yes
4, 40, 4, no, no, yes, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, yes, no, yes
2, 3, 5, no, no, no, no, no, no, no, no, no, 12, 0.416667, yes, yes, no, no, no, no, yes
3, 26, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
19, 245, 2, no, yes, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
4, 36, 4, no, no, no, no, no, yes, no, no, no, 9, 0.444444, no, no, no, yes, no, no, yes
12, 86, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, yes, yes
3, 11, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
3, 7, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
19, 271, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
16, 383, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, yes
6, 198, 3, no, no, no, no, no, no, yes, no, no, 6, 0.5, no, no, no, yes, no, no, yes
0, 6, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, yes
8, 67, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, yes, no, no, no, no, no, yes
7, 106, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
3, 10, 5, no, no, no, no, no, no, no, no, no, 10, 0.5, no, no, no, yes, no, no, yes
5, 22, 5, no, no, no, no, no, no, no, no, no, 10, 0.5, no, no, no, yes, no, no, yes
7, 121, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, yes
9, 93, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, yes
11, 128, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
2, 6, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
6, 35, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, no, no, yes, no, no, yes
8, 124, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
8, 124, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
2, 29, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
0, 0, 4, no, no, no, yes, no, yes, no, no, no, 12, 0.333333, yes, no, no, no, no, no, yes
2, 15, 6, no, no, no, no, no, no, no, no, yes, 13, 0.461538, no, no, no, yes, no, no, yes
8, 34, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
5, 28, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, yes
0, 1, 4, no, no, no, no, no, no, no, yes, no, 7, 0.571429, no, yes, no, no, no, no, yes
16, 209, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
5, 49, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, yes, no, no, yes
6, 55, 4, no, no, no, no, no, no, no, yes, no, 8, 0.5, no, yes, no, no, no, no, yes
10, 43, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, yes, yes, no, no, no, yes, yes
7, 30, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, yes
17, 224, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
10, 32, 5, no, no, no, no, no, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, yes
7, 71, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
20, 400, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, yes
10, 50, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
4, 34, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, yes, yes
2, 3, 6, no, no, no, no, no, no, no, no, no, 13, 0.461538, no, yes, no, no, no, no, yes
3, 4, 6, no, no, no, no, no, no, no, no, no, 13, 0.461538, no, no, no, no, no, no, yes
3, 4, 6, no, no, no, no, no, no, no, no, no, 13, 0.461538, no, no, no, no, no, no, yes
1, 26, 4, no, no, no, no, no, no, no, no, no, 6, 0.666667, no, yes, no, no, no, no, yes
2, 16, 6, no, no, no, yes, no, yes, no, no, no, 13, 0.461538, no, no, no, yes, no, no, yes
21, 350, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
0, 3, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
5, 51, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
9, 182, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
11, 193, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
19, 333, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
1, 38, 3, yes, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, yes
0, 21, 2, no, no, no, no, yes, no, no, no, no, 5, 0.4, no, no, no, no, no, no, yes
17, 252, 2, no, no, no, no, no, no, no, no, no, 3, 0.666667, no, yes, no, no, no, no, yes
0, 1, 2, no, no, no, no, yes, no, no, no, no, 7, 0.285714, no, no, no, no, no, no, yes
16, 381, 1, no, no, no, no, yes, no, no, no, no, 2, 0.5, no, no, no, yes, no, no, yes
5, 117, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
4, 21, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, no
27, 486, 3, no, no, no, no, no, no, no, no, no, 4, 0.75, no, yes, no, no, no, no, no
8, 137, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, no
10, 99, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, no
28, 521, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, no, no, no, no
27, 529, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, no, no, yes, no, no, no
18, 241, 3, no, no, no, no, yes, no, no, no, no, 5, 0.6, no, no, no, yes, no, no, no
22, 288, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, no
26, 530, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, no
1, 12, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, yes, no, no, no
