%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute c10 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute webhits integer
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

"acercó", 6, 92, 3, no, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, 19300000, no, no, yes
"adentró", 6, 34, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, yes, no, no, no, no, no, 492000, no, no, yes
"admiten", 5, 50, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 197000000, no, no, yes
"aeropuerto", 2, 2, 6, no, no, no, no, no, no, no, no, no, no, no, 10, 0.6, no, yes, no, no, no, no, 212000000, yes, no, yes
"alfabetización", 1, 1, 7, no, no, no, no, no, no, no, no, no, no, no, 14, 0.5, no, yes, no, no, no, no, 16300000, no, no, yes
"alienígena", 1, 2, 6, no, no, no, no, no, no, no, no, no, no, no, 10, 0.6, no, yes, no, no, no, no, 5250000, no, no, yes
"antropómimo", 1, 3, 5, no, no, no, no, no, no, yes, no, no, no, no, 11, 0.454545, yes, no, no, no, no, no, 62400, no, no, yes
"arquitectura", 3, 4, 6, no, no, no, no, no, no, no, yes, no, no, no, 12, 0.5, no, yes, no, no, no, no, 154000000, no, no, yes
"arrastraba", 6, 33, 4, no, no, no, no, no, yes, no, no, no, no, no, 10, 0.4, yes, no, no, no, no, yes, 1870000, no, no, yes
"artilugio", 2, 3, 5, no, no, no, no, no, no, no, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, 1270000, yes, no, yes
"autobús", 1, 5, 4, no, no, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, 75400000, yes, no, yes
"ayudarme", 7, 51, 4, no, no, no, no, yes, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, 12400000, no, no, yes
"ayuntamiento", 3, 13, 6, no, no, no, no, yes, no, yes, no, no, no, no, 12, 0.5, no, yes, no, no, no, no, 178000000, yes, no, yes
"aúno", 10, 204, 3, no, no, no, no, no, no, no, no, no, no, no, 4, 0.75, no, yes, no, no, no, no, 333000, no, no, yes
"bajita", 8, 124, 3, no, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, 474000, no, no, yes
"balón", 27, 286, 2, no, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, 43400000, no, no, yes
"bosque", 6, 93, 3, no, no, no, no, no, no, no, yes, no, no, no, 6, 0.5, no, yes, no, no, no, no, 125000000, yes, no, yes
"burro", 21, 264, 2, no, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, yes, 49000000, yes, no, yes
"buscaba", 6, 74, 3, yes, no, no, no, no, no, no, no, yes, no, no, 7, 0.428571, no, no, no, no, no, no, 35500000, no, no, yes
"cervatillo", 2, 5, 4, no, no, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, yes, 286000, no, no, yes
