%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

"a jugar", 0, no, yes, no, no, no, 7,0.428571,10100000, no, no, no, no, no, no, yes
"absorber", 8, yes, no, no, no, no, 8,0.375,11900000, no, no, no, no, no, no, yes
"absorbiendo", 2, yes, no, no, no, no, 11,0.454545,999000, no, no, no, no, no, no, yes
"actividades", 1, no, no, no, no, no, 11,0.454545,116000000, no, no, no, no, no, no, yes
"actrices", 1, no, no, no, no, no, 8,0.375,10800000, yes, no, no, no, no, no, yes
"adentró", 6, no, no, no, no, no, 7,0.428571,1330000, yes, no, no, no, no, no, yes
"adjetivo", 6, no, yes, no, no, no, 8,0.5,3780000, no, no, no, no, no, no, yes
"adrede", 2, no, no, no, no, no, 6,0.5,1130000, no, no, no, no, no, no, yes
"agujero", 9, no, yes, no, no, yes, 7,0.571429,7180000, no, no, no, no, yes, no, yes
"al primero", 0, no, no, no, no, no, 10,0.4,529000000, no, no, no, no, no, no, yes
"alfabetización", 1, no, no, no, no, no, 14,0.5,1700000, no, no, no, no, no, no, yes
"alienígena", 1, no, yes, no, no, no, 10,0.6,3090000, no, no, no, no, no, no, yes
"aliviado", 7, no, no, no, no, no, 8,0.625,771000, no, no, no, no, no, no, yes
"animales", 7, no, no, no, no, no, 8,0.5,79500000, no, no, no, no, no, no, yes
"aquí", 4, no, no, no, yes, no, 4,0.75,269000000, no, no, no, no, no, no, yes
"arbolazo", 1, no, no, no, no, no, 8,0.5,13900, no, no, no, no, no, no, yes
"arboles", 14, no, no, no, no, no, 7,0.428571,6630000, no, no, no, no, no, no, yes
"arrestar", 10, no, no, no, no, no, 8,0.375,1860000, no, yes, no, no, no, no, yes
"asteroide", 6, no, no, no, no, no, 9,0.555556,1810000, no, no, no, no, no, no, yes
"así", 19, no, no, no, no, no, 3,0.666667,222000000, no, no, no, no, no, no, yes
"atún", 6, no, no, no, no, no, 4,0.5,2830000, no, no, no, no, no, no, yes
"autobús", 1, no, no, no, no, no, 7,0.571429,8450000, no, no, no, no, yes, no, yes
"aya", 37, no, no, yes, no, no, 3,0.666667,29700000, no, no, no, no, no, no, yes
"ayer", 11, no, no, yes, no, no, 4,0.5,72500000, no, no, no, no, no, no, yes
"ayudarme", 7, no, no, yes, no, no, 8,0.5,3740000, no, no, no, no, no, no, yes
"ayuntamiento", 3, no, no, yes, no, no, 12,0.5,27000000, no, no, no, no, yes, no, yes
"año", 27, no, no, no, no, no, 3,0.666667,280000000, no, no, no, no, no, no, yes
"aúno", 10, no, no, no, no, no, 4,0.75,53300, no, no, no, no, no, no, yes
"bailar", 13, no, no, no, no, no, 6,0.5,13400000, no, no, no, no, no, no, yes
"bajito", 5, no, yes, no, no, no, 6,0.5,960000, no, no, no, no, no, no, yes
"bajo", 34, no, yes, no, no, no, 4,0.5,152000000, no, no, no, no, no, no, yes
"bastante", 9, no, no, no, no, no, 8,0.375,75700000, no, no, no, no, no, no, yes
"beber", 10, yes, no, no, no, no, 5,0.4,28900000, no, no, no, no, no, no, yes
"bella", 13, no, no, no, no, no, 5,0.4,171000000, no, yes, no, no, no, no, yes
"berenjenas", 3, no, yes, no, no, no, 10,0.4,1170000, no, no, no, no, no, no, yes
"bienvenido", 3, yes, no, no, no, no, 10,0.5,42500000, no, no, no, no, no, no, yes
"blanquecina", 4, no, no, no, yes, no, 11,0.454545,617000, no, no, no, no, no, no, yes
"busco", 13, no, no, no, no, no, 5,0.4,46100000, no, no, no, no, yes, no, yes
"calabacines", 2, no, no, no, no, no, 11,0.454545,1240000, no, no, no, no, no, no, yes
"camping", 4, no, no, no, no, no, 7,0.285714,186000000, no, no, no, no, no, no, yes
"canción", 7, no, no, no, no, no, 7,0.428571,38400000, no, no, no, no, no, no, yes
"cantaríamos", 12, no, no, no, no, no, 11,0.454545,52200, no, no, no, no, no, no, yes
"cantidad", 4, no, no, no, no, no, 8,0.375,84400000, no, no, no, no, no, no, yes
"cartón", 13, no, no, no, no, no, 6,0.333333,10800000, no, no, no, no, no, no, yes
"carácter", 2, no, no, no, no, no, 8,0.375,34600000, no, no, no, no, no, no, yes
"cereza", 11, no, no, no, no, no, 6,0.5,2370000, no, no, no, no, no, no, yes
"cine", 19, no, no, no, no, no, 4,0.5,176000000, no, no, no, no, no, no, yes
"circulante", 4, no, no, no, yes, no, 10,0.4,1910000, no, no, no, no, no, no, yes
"clerecía", 3, no, no, no, no, no, 8,0.5,166000, no, no, no, no, no, no, yes
"cobo", 30, no, no, no, no, no, 4,0.5,3220000, no, no, no, no, no, no, yes
"cogen", 11, no, yes, no, no, no, 5,0.4,2490000, no, no, no, no, no, no, yes
"cogió", 7, no, yes, no, no, no, 5,0.6,1640000, no, no, no, no, no, no, yes
"composicional", 0, no, no, no, no, no, 13,0.461538,202000, no, no, no, no, no, no, yes
"comprobó", 2, no, no, no, no, no, 8,0.375,1420000, yes, no, no, no, no, no, yes
"comunicación", 1, no, no, no, no, no, 12,0.5,78200000, no, no, no, no, yes, no, yes
"con mi", 0, no, no, no, no, no, 6,0.333333,1410000000, no, no, no, no, no, no, yes
"conexión", 3, no, no, no, no, no, 8,0.5,33200000, no, no, yes, no, no, no, yes
"conmigo", 5, no, no, no, no, no, 7,0.428571,26700000, no, no, no, no, no, no, yes
"consigue", 4, no, no, no, no, yes, 8,0.5,27400000, no, no, no, no, yes, no, yes
"contempló", 5, no, no, no, no, no, 9,0.333333,1730000, yes, no, no, no, no, no, yes
"conversación", 1, no, no, no, no, no, 12,0.416667,12100000, no, no, no, no, no, no, yes
"corazón a cien", 0, no, no, no, no, no, 14,0.428571,8740000, no, no, no, no, no, no, yes
"creía", 14, no, no, no, no, no, 5,0.6,5320000, no, no, no, no, no, no, yes
"cuaderno", 4, no, no, no, yes, no, 8,0.5,65500000, no, no, no, no, yes, yes, yes
"cuales", 13, no, no, no, yes, no, 6,0.5,65900000, no, no, no, no, no, yes, yes
"cuando", 18, no, no, no, yes, no, 6,0.5,274000000, no, no, no, no, yes, yes, yes
"cuantos", 11, no, no, no, yes, no, 7,0.428571,21600000, no, no, no, no, yes, yes, yes
"cuatro", 6, no, no, no, yes, no, 6,0.5,89900000, no, no, no, no, yes, yes, yes
"cuerpo", 9, no, no, no, yes, no, 6,0.5,92200000, no, no, no, no, yes, no, yes
"cuesta", 12, no, no, no, yes, no, 6,0.5,34100000, no, no, no, no, no, no, yes
"cueva", 15, no, no, no, yes, no, 5,0.6,9010000, no, no, no, no, no, no, yes
"cuidados", 9, no, no, no, yes, no, 8,0.5,29500000, no, no, no, no, yes, no, yes
"cárcel", 3, no, no, no, no, no, 6,0.333333,13700000, no, no, no, no, no, no, yes
"células", 3, no, no, no, no, no, 7,0.428571,12100000, no, no, no, no, no, no, yes
"de al", 1, no, no, no, no, no, 5,0.4,2720000000, no, no, no, no, no, no, yes
"de gente", 0, no, yes, no, no, no, 8,0.375,634000000, no, no, no, no, no, no, yes
"de hierbabuena", 0, yes, no, no, no, no, 14,0.5,1430000, no, no, no, yes, no, no, yes
"de mar", 1, no, no, no, no, no, 6,0.333333,1520000000, no, no, no, no, no, no, yes
"de pollo", 0, no, no, no, no, no, 8,0.375,94100000, no, yes, no, no, no, no, yes
"de vidrio", 0, no, no, no, no, no, 9,0.444444,149000000, no, no, no, no, no, no, yes
"deber", 9, no, no, no, no, no, 5,0.4,8680000, no, no, no, no, no, no, yes
"decir", 3, no, no, no, no, no, 5,0.4,105000000, no, no, no, no, no, no, yes
"dejar", 12, no, yes, no, no, no, 5,0.4,84900000, no, no, no, no, no, no, yes
"dejen", 9, no, yes, no, no, no, 5,0.4,9400000, no, no, no, no, no, no, yes
"del año", 0, no, no, no, no, no, 7,0.428571,433000000, no, no, no, no, no, no, yes
"deprisa", 2, no, no, no, no, no, 7,0.428571,1210000, no, no, no, no, no, no, yes
"desarrollo", 6, no, no, no, no, no, 10,0.4,129000000, no, yes, no, no, no, no, yes
"desde", 8, no, no, no, no, no, 5,0.4,516000000, no, no, no, no, no, no, yes
"desobediente", 2, no, no, no, no, no, 12,0.5,1840000, no, no, no, no, no, no, yes
"dicho", 13, no, no, no, no, no, 5,0.4,61700000, no, no, no, yes, no, no, yes
"dictado", 8, no, no, no, no, no, 7,0.428571,3630000, no, no, no, no, no, no, yes
"difícil", 1, no, no, no, no, no, 7,0.428571,65600000, no, no, no, no, no, no, yes
"dije", 11, no, yes, no, no, no, 4,0.5,20100000, no, no, no, no, no, no, yes
"dijo", 14, no, yes, no, no, no, 4,0.5,84900000, no, no, no, no, no, no, yes
"dirigirse", 6, no, yes, no, no, no, 9,0.444444,4730000, no, no, no, no, no, no, yes
"discusión", 1, no, no, no, yes, no, 9,0.444444,21500000, no, no, no, no, no, no, yes
"discutiendo y al", 0, no, no, yes, yes, no, 16,0.375,187000000, no, no, no, no, yes, no, yes
"disfraces", 3, no, no, no, no, no, 9,0.333333,10200000, yes, no, no, no, no, no, yes
"disparó", 6, no, no, no, no, no, 7,0.428571,2460000, no, no, no, no, no, no, yes
"ecualizador", 3, no, no, no, yes, no, 11,0.545455,875000, no, no, no, no, yes, yes, yes
"ecualizar", 9, no, no, no, yes, no, 9,0.555556,212000, no, no, no, no, no, yes, yes
"el señor", 0, no, no, no, no, no, 8,0.375,11900000, no, no, no, no, no, no, yes
"ello se debe", 0, no, no, no, no, no, 12,0.416667,253000000, no, yes, no, no, no, no, yes
"empezado", 9, no, no, no, no, no, 8,0.5,5940000, no, no, no, no, no, no, yes
"encuentra", 7, no, no, no, yes, no, 9,0.444444,126000000, yes, no, no, no, no, no, yes
"enlace", 13, no, no, no, no, no, 6,0.5,65500000, no, no, no, no, no, no, yes
"entera", 27, no, no, no, no, no, 6,0.5,10600000, no, no, no, no, no, no, yes
"enviado", 14, no, no, no, no, no, 7,0.571429,61000000, no, no, no, no, no, no, yes
"envía", 8, no, no, no, no, no, 5,0.6,32500000, no, no, no, no, no, no, yes
"ermita", 7, no, no, no, no, no, 6,0.5,4730000, no, no, no, no, no, no, yes
"escena", 6, no, no, no, no, no, 6,0.5,23300000, no, no, no, no, no, no, yes
"escriben", 7, no, no, no, no, no, 8,0.375,3770000, yes, no, no, no, no, no, yes
"estaba", 15, no, no, no, no, no, 6,0.5,71600000, no, no, no, no, no, no, yes
"estabais", 6, no, no, no, no, no, 8,0.5,1480000, no, no, no, no, no, no, yes
"estabas", 16, no, no, no, no, no, 7,0.428571,5390000, no, no, no, no, no, no, yes
