%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p3.cpp
@relation whole_set_p3
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data
10, 173, 2, no, no, no, no, no, no, no, no, 5, yes
2, 52, 3, no, no, no, no, no, no, no, no, 6, yes
17, 305, 2, no, no, no, no, no, no, no, no, 5, yes
4, 36, 4, no, no, no, no, no, yes, no, no, 9, yes
14, 236, 2, no, no, no, no, no, no, no, no, 5, yes
4, 38, 4, no, no, no, no, yes, no, no, no, 8, yes
25, 322, 3, no, no, no, no, no, no, no, no, 6, yes
0, 0, 3, no, no, no, no, no, no, no, no, 9, yes
2, 3, 4, no, no, no, no, no, no, no, no, 9, yes
15, 208, 2, no, no, yes, no, no, no, no, no, 5, yes
9, 23, 4, no, no, no, no, no, no, no, no, 8, yes
2, 3, 4, yes, no, no, no, no, no, no, no, 9, yes
1, 3, 5, no, no, no, no, no, no, yes, no, 11, yes
8, 53, 4, no, no, no, no, no, no, no, yes, 8, yes
4, 92, 3, no, no, no, no, no, no, no, no, 6, yes
12, 226, 3, no, no, no, no, no, no, no, no, 6, yes
10, 94, 4, no, no, no, no, no, no, no, no, 7, yes
4, 14, 4, no, no, no, no, no, no, no, no, 8, yes
11, 147, 3, no, no, no, no, yes, no, no, no, 6, yes
3, 28, 4, no, no, no, no, no, no, no, no, 7, yes
5, 33, 4, no, no, no, no, no, no, no, no, 7, yes
4, 14, 3, no, no, no, no, no, no, no, no, 8, yes
13, 142, 3, no, no, no, no, no, no, no, no, 7, yes
5, 33, 4, no, no, no, no, no, no, no, no, 7, yes
4, 14, 3, no, no, no, no, no, no, no, no, 8, yes
7, 32, 3, no, no, no, no, no, no, no, no, 7, yes
14, 238, 2, no, no, no, no, no, no, no, no, 6, yes
5, 31, 4, no, no, no, no, no, no, no, no, 10, yes
0, 0, 4, no, no, no, no, no, no, no, no, 12, yes
2, 2, 6, no, no, no, no, no, yes, no, no, 13, yes
9, 51, 3, no, no, no, no, no, no, no, no, 8, yes
10, 78, 3, no, no, no, no, no, no, no, no, 7, yes
8, 117, 3, no, no, no, no, no, no, no, no, 7, yes
9, 127, 3, no, no, no, no, no, no, no, no, 6, yes
3, 5, 4, no, no, yes, no, no, no, no, no, 10, yes
3, 5, 4, no, no, yes, no, no, no, no, no, 10, yes
5, 80, 2, no, no, no, no, no, no, no, no, 5, yes
1, 1, 6, no, no, no, no, no, no, no, no, 13, yes
2, 7, 5, no, no, no, no, yes, no, no, no, 12, yes
5, 75, 3, no, no, no, no, no, no, no, no, 8, yes
5, 55, 3, no, no, no, no, no, no, no, no, 8, yes
13, 138, 2, yes, no, no, no, no, no, no, no, 6, yes
17, 281, 2, no, no, no, no, no, no, no, no, 5, yes
16, 228, 1, no, no, no, no, no, no, no, no, 3, yes
1, 4, 5, no, no, no, no, no, no, no, no, 10, yes
12, 264, 2, no, no, no, no, no, no, no, no, 4, yes
1, 1, 4, no, no, no, no, no, no, no, no, 10, yes
8, 74, 2, yes, no, no, no, no, no, no, no, 6, yes
4, 21, 4, no, no, no, no, no, no, no, no, 8, no
27, 486, 3, no, no, no, no, no, no, no, no, 4, no
8, 137, 3, no, no, no, no, no, no, no, no, 6, no
10, 99, 3, no, no, no, no, no, no, no, no, 6, no
28, 521, 2, no, no, no, no, no, no, no, no, 4, no
27, 529, 3, no, no, no, no, no, no, no, no, 5, no
18, 241, 3, no, no, no, no, yes, no, no, no, 5, no
22, 288, 2, no, no, no, no, no, no, no, no, 5, no
26, 530, 2, no, no, no, no, no, no, no, no, 4, no
1, 12, 3, no, no, no, no, no, no, no, no, 7, no
4, 7, 4, no, no, no, no, no, no, no, no, 8, no
3, 34, 4, no, no, no, no, no, no, no, no, 7, no
9, 212, 3, no, no, no, no, no, no, no, no, 5, no
5, 21, 3, no, no, no, no, no, no, no, no, 6, no
8, 243, 2, no, no, no, no, no, no, no, no, 5, no
9, 92, 3, no, no, no, no, no, no, no, no, 7, no
4, 26, 3, no, no, no, no, no, no, no, no, 7, no
9, 56, 3, no, no, no, no, no, no, no, no, 7, no
21, 251, 3, no, no, no, no, no, no, no, no, 7, no
51, 818, 2, no, no, no, no, no, no, no, no, 4, no
9, 112, 3, no, no, no, no, no, no, no, no, 7, no
5, 38, 4, no, no, no, no, no, no, no, no, 9, no
13, 195, 3, no, no, no, no, no, no, no, no, 8, no
2, 32, 4, no, no, no, no, no, no, no, no, 7, no
9, 160, 3, no, no, no, no, no, no, no, no, 7, no
9, 46, 4, no, no, no, no, no, no, no, no, 7, no
31, 496, 2, no, no, no, no, no, no, no, no, 4, no
22, 406, 1, no, no, no, no, no, no, no, no, 3, no
10, 170, 2, no, no, no, no, no, no, no, no, 6, no
7, 81, 3, no, no, no, no, no, no, no, no, 7, no
38, 698, 2, no, no, no, no, no, no, no, no, 4, no
39, 661, 2, no, no, no, no, no, no, no, no, 4, no
6, 23, 5, no, no, no, no, no, no, no, yes, 13, no
3, 22, 4, no, no, no, no, no, no, no, no, 9, no
5, 35, 3, no, no, no, no, no, no, no, no, 8, no
8, 106, 2, no, no, no, no, no, no, no, no, 5, no
2, 16, 6, no, no, no, no, no, no, no, no, 10, no
8, 112, 2, no, no, no, no, no, no, no, no, 5, no
34, 540, 1, no, no, no, no, no, no, no, no, 2, no
20, 541, 2, no, no, no, no, no, no, no, no, 3, no
18, 318, 2, no, no, no, no, no, no, no, no, 4, no
20, 315, 2, no, no, no, no, no, no, no, no, 5, no
9, 52, 3, no, no, no, no, no, no, no, no, 7, no
9, 109, 3, no, no, no, no, no, no, no, no, 6, no
9, 277, 2, no, no, no, no, no, no, no, no, 4, no
10, 155, 2, no, no, no, no, no, no, no, no, 6, no
17, 371, 2, no, no, no, no, no, no, no, no, 3, no
26, 421, 2, no, no, no, no, no, no, no, no, 4, no
7, 120, 3, no, no, no, no, no, no, no, no, 7, no
13, 203, 3, no, no, no, no, no, no, no, no, 5, no
11, 50, 3, no, no, no, no, no, no, no, no, 7, no
11, 60, 3, no, no, no, no, no, no, no, no, 7, no
1, 19, 4, no, no, no, no, no, no, no, no, 8, no
11, 153, 2, no, no, no, no, no, no, no, no, 6, no
34, 584, 1, no, no, no, no, no, no, no, no, 2, no
