%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

"absorbiendo", 2, yes, no, no, no, no, 11,0.454545,999000, no, no, no, no, no, no, yes
"accesibilidad", 1, no, no, no, no, no, 13,0.461538,10200000, no, yes, no, no, no, no, yes
"aceptación", 1, no, no, no, no, no, 10,0.5,21700000, no, no, no, no, no, no, yes
"actrices", 1, no, no, no, no, no, 8,0.375,10800000, yes, no, no, no, no, no, yes
"adentró", 6, no, no, no, no, no, 7,0.428571,1330000, yes, no, no, no, no, no, yes
"aeropuerto", 2, no, no, no, no, no, 10,0.6,30500000, no, no, no, no, yes, no, yes
"agradecerá", 5, no, no, no, no, no, 10,0.5,5880000, no, no, no, no, no, no, yes
"agua", 26, no, no, no, no, yes, 4,0.75,177000000, no, no, no, no, no, yes, yes
"agujero", 9, no, yes, no, no, yes, 7,0.571429,7180000, no, no, no, no, yes, no, yes
"al primero", 0, no, no, no, no, no, 10,0.4,529000000, no, no, no, no, no, no, yes
"alfabetización", 1, no, no, no, no, no, 14,0.5,1700000, no, no, no, no, no, no, yes
"alienígena", 1, no, yes, no, no, no, 10,0.6,3090000, no, no, no, no, no, no, yes
"aliviado", 7, no, no, no, no, no, 8,0.625,771000, no, no, no, no, no, no, yes
"ambiente", 7, no, no, no, no, no, 8,0.5,199000000, no, no, no, no, no, no, yes
"aprovechar", 9, no, no, no, no, no, 10,0.4,13500000, no, no, no, yes, no, no, yes
"arbolazo", 1, no, no, no, no, no, 8,0.5,13900, no, no, no, no, no, no, yes
"arboles", 14, no, no, no, no, no, 7,0.428571,6630000, no, no, no, no, no, no, yes
"arquitectura", 3, no, no, no, yes, no, 12,0.5,34900000, no, no, no, no, no, no, yes
"asesinada", 6, no, no, no, no, no, 9,0.555556,2210000, no, no, no, no, no, no, yes
"asteroide", 6, no, no, no, no, no, 9,0.555556,1810000, no, no, no, no, no, no, yes
"atún", 6, no, no, no, no, no, 4,0.5,2830000, no, no, no, no, no, no, yes
"aunque", 7, no, no, no, yes, no, 6,0.666667,124000000, no, no, no, no, no, no, yes
"ayer", 11, no, no, yes, no, no, 4,0.5,72500000, no, no, no, no, no, no, yes
"ayudarme", 7, no, no, yes, no, no, 8,0.5,3740000, no, no, no, no, no, no, yes
"años", 21, no, no, no, no, no, 4,0.5,382000000, no, no, no, no, no, no, yes
"balón", 27, no, no, no, no, no, 5,0.4,9430000, no, no, no, no, no, no, yes
"banco", 17, no, no, no, no, no, 5,0.4,121000000, no, no, no, no, no, no, yes
"bastan", 14, no, no, no, no, no, 6,0.333333,1480000, no, no, no, no, no, no, yes
"bastante", 9, no, no, no, no, no, 8,0.375,75700000, no, no, no, no, no, no, yes
"batir", 8, no, no, no, no, no, 5,0.4,3330000, no, no, no, no, no, no, yes
"be", 25, no, no, no, no, no, 2,0.5,5700000000, no, no, no, no, no, no, yes
"bella", 13, no, no, no, no, no, 5,0.4,171000000, no, yes, no, no, no, no, yes
"beneficiario", 4, no, no, no, no, no, 12,0.583333,3400000, no, no, no, no, no, no, yes
"beneficioso", 4, no, no, no, no, no, 11,0.545455,1810000, no, no, no, no, no, no, yes
"berenjena", 3, no, yes, no, no, no, 9,0.444444,1340000, no, no, no, no, no, no, yes
"biblioteca", 2, yes, no, no, no, no, 10,0.5,69700000, no, no, no, no, no, no, yes
"billones", 6, no, no, no, no, no, 8,0.375,1810000, no, yes, no, no, no, no, yes
"bosque", 6, no, no, no, yes, no, 6,0.5,32200000, no, no, no, no, yes, no, yes
"caballero", 8, no, no, no, no, no, 9,0.444444,28700000, no, yes, no, no, no, no, yes
"camping", 4, no, no, no, no, no, 7,0.285714,186000000, no, no, no, no, no, no, yes
"cantar", 23, no, no, no, no, no, 6,0.333333,18000000, no, no, no, no, no, no, yes
"cantidad", 4, no, no, no, no, no, 8,0.375,84400000, no, no, no, no, no, no, yes
"cartel", 14, no, no, no, no, no, 6,0.333333,31000000, no, no, no, no, no, no, yes
"cartón", 13, no, no, no, no, no, 6,0.333333,10800000, no, no, no, no, no, no, yes
"castaño", 5, no, no, no, no, no, 7,0.428571,8860000, no, no, no, no, no, no, yes
"catastrófica", 3, no, no, no, no, no, 12,0.416667,1140000, yes, no, no, no, no, no, yes
"cayó", 19, no, no, yes, no, no, 4,0.5,11300000, no, no, no, no, no, no, yes
"cervatillo", 2, no, no, no, no, no, 10,0.4,492000, no, yes, no, no, no, no, yes
"cinco mil", 0, no, no, no, no, no, 9,0.333333,2510000, no, no, no, no, no, no, yes
"civilización", 1, no, no, no, no, no, 12,0.5,3890000, no, no, no, no, no, no, yes
"clase", 11, no, no, no, no, no, 5,0.4,62300000, no, no, no, no, no, no, yes
"cobo", 30, no, no, no, no, no, 4,0.5,3220000, no, no, no, no, no, no, yes
"coger", 12, no, yes, no, no, no, 5,0.4,9270000, no, no, no, no, no, no, yes
"cogía", 8, no, no, no, no, no, 5,0.6,4880000, no, no, no, no, no, no, yes
"comer", 11, no, no, no, no, no, 5,0.4,73600000, no, no, no, no, no, no, yes
"compañeros", 3, no, no, no, no, no, 10,0.4,24400000, no, no, no, no, no, no, yes
"composicional", 0, no, no, no, no, no, 13,0.461538,202000, no, no, no, no, no, no, yes
"comprobó", 2, no, no, no, no, no, 8,0.375,1420000, yes, no, no, no, no, no, yes
"compró", 6, no, no, no, no, no, 6,0.333333,41900000, yes, no, no, no, no, no, yes
"comunicación", 1, no, no, no, no, no, 12,0.5,78200000, no, no, no, no, yes, no, yes
