%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p6
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute c10 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute webhits integer
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data
2, 4, 5, no, no, no, no, no, no, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, 286000000, no, no, yes
2, 4, 5, no, no, no, yes, no, no, no, no, no, no, 10, 0.5, no, yes, no, no, no, no, 99200000, no, no, yes
10, 62, 4, no, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, no, no, no, no, no, 4740000, no, no, yes
8, 76, 3, no, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, 96900000, no, no, yes
5, 30, 4, no, no, no, no, no, no, no, no, no, no, 8, 0.5, yes, yes, no, no, no, no, 81400000, no, no, yes
21, 397, 2, no, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, no, no, no, 742000000, no, no, yes
13, 242, 3, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 144000000, no, no, yes
1, 20, 4, no, no, no, no, no, no, no, no, no, no, 9, 0.444444, yes, yes, yes, no, no, no, 151000000, no, no, yes
3, 7, 4, no, no, no, no, no, no, no, no, no, no, 10, 0.4, yes, no, no, no, no, no, 712000, no, no, yes
3, 8, 5, no, no, no, no, no, no, no, yes, no, no, 11, 0.454545, no, yes, no, no, no, no, 22400000, no, no, yes
7, 134, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, 21000000, yes, no, yes
6, 152, 3, no, yes, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, 78400000, no, no, yes
10, 173, 2, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, 585000000, no, no, yes
13, 203, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, 2260000, no, no, yes
4, 12, 4, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, 630000000, no, no, yes
6, 97, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, 8700000, yes, no, yes
18, 228, 2, no, no, yes, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, yes, no, 186000000, no, no, yes
9, 217, 2, no, no, yes, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, yes, no, 171000000, no, no, yes
27, 431, 2, no, no, yes, no, yes, no, no, no, no, no, 5, 0.4, no, no, no, yes, yes, no, 33700000, no, no, yes
2, 4, 5, no, no, yes, no, no, no, no, no, no, no, 12, 0.416667, no, yes, no, no, yes, yes, 315000000, no, no, yes
20, 385, 2, no, no, yes, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, yes, no, 80900000, no, no, yes
9, 99, 3, no, no, yes, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, yes, no, 13100000, no, no, yes
4, 40, 4, no, no, yes, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, yes, no, 264000000, no, no, yes
2, 27, 2, no, no, yes, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, yes, no, 45400000, no, no, yes
19, 397, 2, no, no, no, no, no, no, no, no, no, no, 3, 0.666667, no, no, no, yes, no, no, 66100000, no, no, yes
2, 3, 5, no, no, no, no, no, no, no, no, no, no, 12, 0.416667, no, no, no, no, no, no, 24200000, no, no, yes
19, 142, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, 353000000, no, no, yes
2, 3, 5, no, no, no, no, no, no, no, no, no, no, 10, 0.5, no, yes, no, no, no, no, 1730000, no, no, yes
8, 27, 5, no, no, no, no, no, yes, no, no, no, no, 12, 0.416667, no, no, no, no, no, yes, 91000, no, no, yes
2, 10, 5, yes, no, no, no, no, no, no, no, no, no, 11, 0.454545, no, yes, no, no, no, no, 3370000, no, no, yes
3, 8, 4, yes, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, 7100000, no, no, yes
3, 5, 5, no, no, no, no, no, yes, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, 10200000, no, no, yes
10, 144, 3, no, yes, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, 255000000, yes, no, yes
7, 125, 3, no, yes, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, 409000000, yes, no, yes
19, 245, 2, no, yes, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, 138000000, no, no, yes
3, 25, 3, no, no, no, no, no, no, no, yes, no, no, 6, 0.5, no, no, no, yes, no, no, 24600000, no, no, yes
12, 167, 2, no, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, 58300000, no, no, yes
12, 134, 2, no, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, yes, 61600000, no, no, yes
3, 7, 3, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 1920000, no, no, yes
38, 600, 1, no, no, no, no, no, no, no, no, no, no, 3, 0.333333, no, no, no, yes, no, no, 4780000000, no, no, yes
14, 164, 3, no, no, no, no, no, no, yes, no, yes, no, 8, 0.375, no, no, no, no, no, no, 1620000, no, no, yes
4, 8, 4, no, no, no, no, no, no, yes, no, no, no, 10, 0.4, no, no, no, no, no, yes, 9320000, no, no, yes
14, 120, 4, no, no, no, no, no, no, no, no, yes, no, 8, 0.5, no, yes, no, no, no, no, 60400000, no, no, yes
0, 6, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, 22800000, no, no, yes
2, 38, 3, no, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, 1120000, no, no, yes
13, 170, 2, no, no, yes, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, yes, no, 661000000, yes, no, yes
1, 3, 4, no, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, no, no, yes, no, no, 1260000000, no, no, yes
2, 31, 4, no, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, no, no, yes, no, no, 245000000, no, no, yes
7, 121, 2, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, 298000000, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, 93400000, no, no, yes
11, 128, 3, no, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, 925000000, no, no, yes
5, 14, 3, yes, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 38400000, no, no, yes
2, 6, 3, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 620000000, yes, no, yes
8, 53, 4, no, no, no, no, no, no, no, no, yes, no, 8, 0.5, no, no, no, no, no, no, 43300000, no, no, yes
8, 124, 3, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 191000000, no, no, yes
8, 124, 3, no, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, 264000000, no, no, yes
11, 147, 3, no, no, no, no, yes, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, 16200000, no, no, yes
7, 32, 3, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 132000000, no, no, yes
4, 14, 3, no, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, 177000000, no, no, yes
